Date,Solar Radiation (W/m²),Temperature (°C),Wind Speed (m/s),Humidity (% RH),Surface Temperature (°C)
2001-08-18,24.59,32.39,5.67,45.32,34.59
2001-08-19,24.68,32.23,5.45,48.73,34.66
2001-08-20,24.09,32.61,4.28,49.65,35.63
2001-08-21,23.76,33.27,3.91,44.94,36.28
2001-08-22,24.14,33.47,5.63,45.29,35.88
2001-08-23,24.07,32.49,4.93,48.66,35.27
2001-08-24,24.25,32.79,4.35,46.41,35.57
2001-08-25,24.86,33.01,5.15,44.79,35.65
2001-08-26,24.64,32.01,5.99,43.13,34.24
2001-08-27,24.57,31.41,7.12,46.44,33.3
2001-08-28,24.37,31.75,7.39,47.48,33.49
2001-08-29,24.39,31.63,7.77,49.66,33.39
2001-08-30,22.85,31.18,5.56,51.18,33.64
2001-08-31,22.17,31.82,5.08,50.61,34.37
2001-09-01,22.85,32.65,3.63,46.72,35.58
2001-09-02,21.84,33.26,4.32,43.33,35.79
2001-09-03,22.9,32.85,5.47,43.9,35.01
2001-09-04,18.97,32.04,5.11,47.22,34.33
2001-09-05,21.38,31.57,4.45,49.77,34.06
2001-09-06,19.58,31.89,3.83,48.46,34.59
2001-09-07,21.65,32.8,3.56,42.45,35.45
2001-09-08,22.57,33.12,3.39,38.82,35.85
2001-09-09,23.39,33.48,4.72,37.72,35.53
2001-09-10,23.16,32.25,6.19,41.03,33.96
2001-09-11,22.7,31.78,5.78,42.59,33.77
2001-09-12,23.07,31.58,4.83,44.69,33.67
2001-09-13,22.84,32.02,3.38,42.06,34.69
2001-09-14,22.75,31.93,3.52,42.44,34.41
2001-09-15,18.96,32.67,1.65,39.53,35.89
2001-09-16,20.93,33.16,2.35,32.57,34.96
2001-09-17,22.49,32.85,3.03,27.16,34.23
2001-09-18,22.27,32.19,4.41,27.93,33.46
2001-09-19,23.11,31.85,4.56,33.5,33.51
2001-09-20,22.16,31.33,4.85,34.82,32.96
2001-09-21,22.79,32.15,2.59,30.92,33.79
2001-09-22,21.73,33.46,1.45,23.5,34.29
2001-09-23,21.63,33.96,1.34,19.71,33.86
2001-09-24,22.17,33.95,1.28,16.36,34.25
2001-09-25,22.04,33.81,1.74,15.74,34.07
2001-09-26,21.81,34.24,1.53,14.15,34.46
2001-09-27,22.56,34.65,1.43,12.12,33.69
2001-09-28,22.35,33.65,2.27,11.65,33.6
2001-09-29,22.27,32.91,2.84,11.86,32.97
2001-09-30,21.66,32.11,2.95,13.73,32.4
2001-10-01,20.39,31.54,4.27,43.41,33.08
2001-10-02,20.75,29.64,4.4,56.58,31.39
2001-10-03,20.61,31.43,2.86,36.15,33.15
2001-10-04,20.64,31.82,2.45,35.77,33.64
2001-10-05,19.61,32.55,1.69,23.87,33.56
2001-10-06,18.84,31.97,2.29,21.46,32.98
2001-10-07,18.95,32.01,2.23,19.25,32.74
2001-10-08,20.33,32.38,2.16,15.4,32.07
2001-10-09,21.06,32.36,1.81,13.19,31.8
2001-10-10,19.7,31.68,2.69,16.9,31.16
2001-10-11,19.52,30.94,4.16,33.85,31.83
2001-10-12,18.82,31.06,2.8,44.84,33.13
2001-10-13,18.58,28.73,2.54,20.07,29.12
2001-10-14,17.45,29.37,1.78,14.06,28.12
2001-10-15,17.64,29.12,1.88,14.87,28.25
2001-10-16,17.69,28.29,2.16,14.35,28.19
2001-10-17,19.6,28.59,2.06,11.27,27.81
2001-10-18,19.92,28.41,3.19,11.42,27.54
2001-10-19,19.54,29.33,2.3,12.05,27.98
2001-10-20,19.61,28.95,2.15,14.47,28.06
2001-10-21,19.4,28.32,2.32,16.24,27.85
2001-10-22,19.22,28.73,1.91,16.23,28.48
2001-10-23,18.98,30.05,1.71,13.36,28.42
2001-10-24,19.31,29.68,2.77,14.27,28.03
2001-10-25,18.82,28.96,3.59,16.07,28.31
2001-10-26,18.8,29.58,1.87,13.33,28.08
2001-10-27,18.19,29.35,2.08,13.37,28.7
